Date	TSLA	^GSPC	AMC	RIVN	LCID	XPEV	LI	PTRA	F	GM	TWTR	TGT	SVNDY	EMR	GRMN	DHR	NUE	NSANY	TM	HMC
2021-12-31	1056.780029296875	4766.18017578125	27.200000762939453	103.69000244140625	38.04999923706055	50.33000183105469	32.099998474121094	8.829999923706055	20.770000457763672	58.630001068115234	43.220001220703125	231.44000244140625	21.959999084472656	92.97000122070312	136.1699981689453	329.010009765625	114.1500015258789	9.609999656677246	185.3000030517578	28.450000762939453
2022-01-03	1199.780029296875	4796.56005859375	26.520000457763672	102.72000122070312	40.93000030517578	50.27000045776367	32.34000015258789	9.359999656677246	21.770000457763672	61.16999816894531	42.65999984741211	231.9499969482422	21.989999771118164	91.76000213623047	133.5500030517578	315.760009765625	113.04000091552734	9.710000038146973	186.2899932861328	28.81999969482422
2022-01-04	1149.5899658203125	4793.5400390625	25.489999771118164	101.38999938964844	39.40999984741211	47.599998474121094	30.329999923706055	9.300000190734863	24.309999465942383	65.73999786376953	40.849998474121094	234.1699981689453	22.43000030517578	95.83000183105469	133.57000732421875	307.260009765625	117.06999969482422	10.300000190734863	199.19000244140625	29.489999771118164
2022-01-05	1088.1199951171875	4700.580078125	22.75	90.01000213623047	36.68000030517578	46.11000061035156	29.170000076293945	9.170000076293945	23.65999984741211	62.7400016784668	39.5	228.86000061035156	22.469999313354492	95.69000244140625	133.0500030517578	305.29998779296875	122.72000122070312	10.489999771118164	196.9499969482422	29.270000457763672
2022-01-06	1064.699951171875	4696.0498046875	22.459999084472656	87.33000183105469	38.220001220703125	46.65999984741211	28.3799991607666	9.050000190734863	24.459999084472656	62.869998931884766	39.59000015258789	231.35000610351562	22.31999969482422	96.2300033569336	132.77999877929688	303.9200134277344	116.5999984741211	10.710000038146973	199.75	29.729999542236328
2022-01-07	1026.9599609375	4677.02978515625	22.989999771118164	86.27999877929688	41.97999954223633	45.04999923706055	29.18000030517578	9.09000015258789	24.440000534057617	62.27000045776367	39.66999816894531	230.77999877929688	22.049999237060547	95.69000244140625	130.9499969482422	295.6700134277344	114.44000244140625	10.859999656677246	200.44000244140625	29.75
2022-01-10	1058.1199951171875	4670.2900390625	22.780000686645508	81.44000244140625	41.720001220703125	42.630001068115234	27.540000915527344	9.34000015258789	23.850000381469727	61.06999969482422	39.970001220703125	227.4199981689453	22.049999237060547	95.30000305175781	130.0500030517578	303.0299987792969	111.86000061035156	10.829999923706055	200.35000610351562	29.670000076293945
2022-01-11	1064.4000244140625	4713.06982421875	22.790000915527344	83.55000305175781	45.470001220703125	45.7599983215332	29.809999465942383	9.739999771118164	24.350000381469727	61.459999084472656	40.65999984741211	227.5500030517578	21.93000030517578	96.37999725341797	131.77999877929688	305.3299865722656	110.83999633789062	10.880000114440918	201.89999389648438	30.34000015258789
2022-01-12	1106.219970703125	4726.35009765625	22.719999313354492	86.4800033569336	45.43000030517578	48.380001068115234	30.75	10.199999809265137	24.469999313354492	61.029998779296875	40.25	224.47000122070312	21.90999984741211	96.91999816894531	132.0	306.3800048828125	114.72000122070312	10.9399995803833	206.61000061035156	30.639999389648438
2022-01-13	1031.56005859375	4659.02978515625	20.65999984741211	80.30999755859375	41.40999984741211	47.52000045776367	30.770000457763672	10.40999984741211	25.020000457763672	61.77000045776367	38.70000076293945	225.8300018310547	21.68000030517578	97.27999877929688	132.14999389648438	292.04998779296875	112.72000122070312	11.180000305175781	211.3699951171875	30.889999389648438
2022-01-14	1049.6099853515625	4662.85009765625	20.56999969482422	79.94999694824219	42.220001220703125	49.689998626708984	31.1299991607666	10.09000015258789	25.190000534057617	61.099998474121094	38.439998626708984	221.39999389648438	22.649999618530273	97.47000122070312	132.3800048828125	293.30999755859375	110.81999969482422	11.0	210.69000244140625	30.690000534057617
2022-01-18	1030.510009765625	4577.10986328125	18.84000015258789	73.16000366210938	39.209999084472656	47.31999969482422	30.469999313354492	9.289999961853027	24.3799991607666	58.790000915527344	37.29999923706055	220.00999450683594	22.559999465942383	96.37000274658203	132.77999877929688	288.3999938964844	106.69999694824219	10.890000343322754	207.47000122070312	30.40999984741211
2022-01-19	995.6500244140625	4532.759765625	18.31999969482422	69.4000015258789	40.029998779296875	43.79999923706055	29.260000228881836	8.8100004196167	22.450000762939453	56.2400016784668	37.349998474121094	223.83999633789062	22.420000076293945	94.91999816894531	131.22999572753906	287.0299987792969	104.25	10.800000190734863	202.4199981689453	29.780000686645508
2022-01-20	996.27001953125	4482.72998046875	18.06999969482422	65.0199966430664	38.720001220703125	44.61000061035156	29.170000076293945	8.369999885559082	21.649999618530273	54.650001525878906	37.279998779296875	221.72000122070312	22.75	93.6500015258789	123.29000091552734	282.9599914550781	100.33999633789062	10.699999809265137	201.47000122070312	29.469999313354492
2022-01-21	943.9000244140625	4397.93994140625	17.969999313354492	64.51000213623047	37.75	41.810001373291016	27.899999618530273	7.570000171661377	20.649999618530273	53.279998779296875	34.81999969482422	217.25	22.829999923706055	93.19999694824219	121.44000244140625	280.45001220703125	93.05000305175781	10.640000343322754	199.77000427246094	29.780000686645508
2022-01-24	930.0	4410.1298828125	16.639999389648438	63.900001525878906	37.75	39.9900016784668	27.270000457763672	7.590000152587891	20.389999389648438	52.63999938964844	35.060001373291016	220.5800018310547	22.920000076293945	93.04000091552734	123.41000366210938	276.8599853515625	95.30999755859375	10.539999961853027	197.6999969482422	29.530000686645508
